GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(Player-3),FinalScore(Player-2),FinalScore(PlayerName-1),FinalScore(PlayerName-2),FinalScore(PlayerName-3),CardsInSupplyGameEnd(WORKSHOP),CardsInSupplyGameEnd(GOLD),CardsInSupplyGameEnd(MARKET),CardsInSupplyGameEnd(DUCHY),CardsInSupplyGameEnd(SILVER),CardsInSupplyGameEnd(REMODEL),CardsInSupplyGameEnd(COPPER),CardsInSupplyGameEnd(MERCHANT),CardsInSupplyGameEnd(MILITIA),CardsInSupplyGameEnd(VILLAGE),CardsInSupplyGameEnd(MOAT),CardsInSupplyGameEnd(CELLAR),CardsInSupplyGameEnd(MINE),CardsInSupplyGameEnd(SMITHY),CardsInSupplyGameEnd(PROVINCE),CardsInSupplyGameEnd(ESTATE),EmptySupplySlots(EmptySupplySlots),DominionActionValue(attackCount),DominionActionValue(plusMoney),DominionActionValue(plusActions),DominionActionValue(trashCardCount),DominionActionValue(plusBuys),DominionActionValue(plusDraws),ScoresPerRound(ScoresPerRound)
1024990892,Dominion,27,GAME_OVER,253,3,4,4010,dominion-4P-32,8.0,9.0,8.0,7.0,dominion-4P-32,dominion-4P-32,dominion-4P-32,16,20,20,12,28,20,0,18,20,18,0,1,20,20,12,0,3,0,0,12,0,0,25,"[6.0, 5.0, 5.0, 5.0, 7.0, 6.0, 6.0, 5.0, 8.0, 7.0, 7.0, 6.0, 8.0, 7.0, 7.0, 7.0, 9.0, 8.0, 7.0, 8.0, 9.0, 8.0, 7.0, 8.0, 9.0, 8.0, 7.0, 8.0, 9.0, 8.0, 7.0, 8.0, 9.0, 8.0, 7.0, 8.0, 9.0, 8.0, 7.0, 8.0, 9.0, 8.0, 7.0, 8.0, 9.0, 8.0, 7.0, 8.0, 9.0, 8.0, 7.0, 8.0, 9.0, 8.0, 7.0, 8.0, 9.0, 8.0, 7.0, 8.0, 9.0, 8.0, 7.0, 8.0, 9.0, 8.0, 7.0, 8.0, 9.0, 8.0, 7.0, 8.0, 9.0, 8.0, 7.0, 8.0, 9.0, 8.0, 7.0, 8.0, 9.0, 8.0, 7.0, 8.0, 9.0, 8.0, 7.0, 8.0, 9.0, 8.0, 7.0, 8.0, 9.0, 8.0, 7.0, 8.0, 9.0, 8.0, 7.0, 8.0, 9.0, 8.0, 7.0, 8.0, 9.0, 8.0, 7.0, 8.0, 9.0, 8.0, 7.0, 8.0]"
1542999819,Dominion,29,GAME_OVER,261,0,4,4011,dominion-4P-32,9.0,12.0,6.0,8.0,dominion-4P-32,dominion-4P-32,dominion-4P-32,15,20,20,11,24,18,0,16,20,18,0,4,20,20,12,0,3,0,0,9,0,0,14,"[6.0, 6.0, 6.0, 5.0, 7.0, 7.0, 7.0, 6.0, 8.0, 8.0, 7.0, 6.0, 9.0, 9.0, 8.0, 6.0, 9.0, 9.0, 8.0, 6.0, 9.0, 9.0, 8.0, 6.0, 9.0, 9.0, 8.0, 6.0, 9.0, 9.0, 8.0, 6.0, 9.0, 9.0, 8.0, 6.0, 9.0, 9.0, 8.0, 6.0, 9.0, 9.0, 8.0, 6.0, 9.0, 9.0, 8.0, 6.0, 9.0, 9.0, 8.0, 6.0, 9.0, 9.0, 8.0, 6.0, 9.0, 9.0, 8.0, 6.0, 9.0, 9.0, 8.0, 6.0, 9.0, 9.0, 8.0, 6.0, 9.0, 9.0, 8.0, 6.0, 9.0, 9.0, 8.0, 6.0, 9.0, 9.0, 8.0, 6.0, 12.0, 9.0, 8.0, 6.0, 12.0, 9.0, 8.0, 6.0, 12.0, 9.0, 8.0, 6.0, 12.0, 9.0, 8.0, 6.0, 12.0, 9.0, 8.0, 6.0, 12.0, 9.0, 8.0, 6.0, 12.0, 9.0, 8.0, 6.0, 12.0, 9.0, 8.0, 6.0, 12.0, 9.0, 8.0, 6.0, 12.0, 9.0, 8.0, 6.0]"
-1580811206,Dominion,29,GAME_OVER,264,1,4,4012,dominion-4P-32,11.0,9.0,7.0,8.0,dominion-4P-32,dominion-4P-32,dominion-4P-32,20,20,20,11,24,19,0,15,20,16,3,0,20,20,12,0,3,0,0,13,2,0,22,"[6.0, 6.0, 6.0, 6.0, 7.0, 6.0, 7.0, 7.0, 8.0, 7.0, 8.0, 7.0, 9.0, 8.0, 8.0, 7.0, 9.0, 8.0, 8.0, 7.0, 9.0, 8.0, 8.0, 7.0, 9.0, 8.0, 8.0, 7.0, 9.0, 8.0, 8.0, 7.0, 9.0, 8.0, 8.0, 7.0, 9.0, 8.0, 8.0, 7.0, 9.0, 8.0, 8.0, 7.0, 9.0, 8.0, 8.0, 7.0, 9.0, 8.0, 8.0, 7.0, 9.0, 8.0, 8.0, 7.0, 9.0, 8.0, 8.0, 7.0, 9.0, 8.0, 8.0, 7.0, 9.0, 8.0, 8.0, 7.0, 9.0, 8.0, 8.0, 7.0, 9.0, 8.0, 8.0, 7.0, 9.0, 11.0, 8.0, 7.0, 9.0, 11.0, 8.0, 7.0, 9.0, 11.0, 8.0, 7.0, 9.0, 11.0, 8.0, 7.0, 9.0, 11.0, 8.0, 7.0, 9.0, 11.0, 8.0, 7.0, 9.0, 11.0, 8.0, 7.0, 9.0, 11.0, 8.0, 7.0, 9.0, 11.0, 8.0, 7.0, 9.0, 11.0, 8.0, 7.0, 9.0, 11.0, 8.0, 7.0]"
1406318947,Dominion,29,GAME_OVER,275,3,4,4013,dominion-4P-32,9.0,9.0,8.0,6.0,dominion-4P-32,dominion-4P-32,dominion-4P-32,15,20,20,12,26,20,0,13,20,14,5,0,20,20,12,0,3,0,0,17,0,0,20,"[6.0, 6.0, 6.0, 6.0, 7.0, 7.0, 6.0, 6.0, 7.0, 8.0, 6.0, 7.0, 8.0, 9.0, 6.0, 8.0, 9.0, 9.0, 6.0, 8.0, 9.0, 9.0, 6.0, 8.0, 9.0, 9.0, 6.0, 8.0, 9.0, 9.0, 6.0, 8.0, 9.0, 9.0, 6.0, 8.0, 9.0, 9.0, 6.0, 8.0, 9.0, 9.0, 6.0, 8.0, 9.0, 9.0, 6.0, 8.0, 9.0, 9.0, 6.0, 8.0, 9.0, 9.0, 6.0, 8.0, 9.0, 9.0, 6.0, 8.0, 9.0, 9.0, 6.0, 8.0, 9.0, 9.0, 6.0, 8.0, 9.0, 9.0, 6.0, 8.0, 9.0, 9.0, 6.0, 8.0, 9.0, 9.0, 6.0, 8.0, 9.0, 9.0, 6.0, 8.0, 9.0, 9.0, 6.0, 8.0, 9.0, 9.0, 6.0, 8.0, 9.0, 9.0, 6.0, 8.0, 9.0, 9.0, 6.0, 8.0, 9.0, 9.0, 6.0, 8.0, 9.0, 9.0, 6.0, 8.0, 9.0, 9.0, 6.0, 8.0, 9.0, 9.0, 6.0, 8.0, 9.0, 9.0, 6.0, 8.0]"
1570671794,Dominion,19,GAME_OVER,172,2,4,4014,dominion-4P-32,9.0,7.0,7.0,9.0,dominion-4P-32,dominion-4P-32,dominion-4P-32,19,20,20,12,29,20,0,16,20,18,0,10,20,20,12,0,3,0,0,6,0,0,6,"[5.0, 6.0, 6.0, 5.0, 6.0, 7.0, 6.0, 5.0, 6.0, 8.0, 7.0, 5.0, 6.0, 8.0, 8.0, 6.0, 6.0, 9.0, 9.0, 7.0, 7.0, 9.0, 9.0, 7.0, 7.0, 9.0, 9.0, 7.0, 7.0, 9.0, 9.0, 7.0, 7.0, 9.0, 9.0, 7.0, 7.0, 9.0, 9.0, 7.0, 7.0, 9.0, 9.0, 7.0, 7.0, 9.0, 9.0, 7.0, 7.0, 9.0, 9.0, 7.0, 7.0, 9.0, 9.0, 7.0, 7.0, 9.0, 9.0, 7.0, 7.0, 9.0, 9.0, 7.0, 7.0, 9.0, 9.0, 7.0, 7.0, 9.0, 9.0, 7.0, 7.0, 9.0, 9.0, 7.0, 7.0, 9.0, 9.0, 7.0]"
540082064,Dominion,36,GAME_OVER,322,0,4,4015,dominion-4P-32,9.0,7.0,8.0,8.0,dominion-4P-32,dominion-4P-32,dominion-4P-32,12,20,20,12,29,20,0,9,18,17,4,0,20,20,12,0,3,1,2,12,0,0,24,"[6.0, 6.0, 5.0, 6.0, 6.0, 7.0, 6.0, 7.0, 7.0, 8.0, 7.0, 8.0, 7.0, 9.0, 8.0, 8.0, 7.0, 9.0, 8.0, 8.0, 7.0, 9.0, 8.0, 8.0, 7.0, 9.0, 8.0, 8.0, 7.0, 9.0, 8.0, 8.0, 7.0, 9.0, 8.0, 8.0, 7.0, 9.0, 8.0, 8.0, 7.0, 9.0, 8.0, 8.0, 7.0, 9.0, 8.0, 8.0, 7.0, 9.0, 8.0, 8.0, 7.0, 9.0, 8.0, 8.0, 7.0, 9.0, 8.0, 8.0, 7.0, 9.0, 8.0, 8.0, 7.0, 9.0, 8.0, 8.0, 7.0, 9.0, 8.0, 8.0, 7.0, 9.0, 8.0, 8.0, 7.0, 9.0, 8.0, 8.0, 7.0, 9.0, 8.0, 8.0, 7.0, 9.0, 8.0, 8.0, 7.0, 9.0, 8.0, 8.0, 7.0, 9.0, 8.0, 8.0, 7.0, 9.0, 8.0, 8.0, 7.0, 9.0, 8.0, 8.0, 7.0, 9.0, 8.0, 8.0, 7.0, 9.0, 8.0, 8.0, 7.0, 9.0, 8.0, 8.0, 7.0, 9.0, 8.0, 8.0, 7.0, 9.0, 8.0, 8.0, 7.0, 9.0, 8.0, 8.0, 7.0, 9.0, 8.0, 8.0, 7.0, 9.0, 8.0, 8.0, 7.0, 9.0, 8.0, 8.0, 7.0, 9.0, 8.0, 8.0, 7.0, 9.0, 8.0, 8.0]"
-991337134,Dominion,27,GAME_OVER,240,2,4,4016,dominion-4P-32,8.0,9.0,8.0,10.0,dominion-4P-32,dominion-4P-32,dominion-4P-32,14,20,20,11,26,20,0,14,20,15,11,0,20,20,12,0,3,0,0,10,0,0,12,"[6.0, 6.0, 6.0, 6.0, 7.0, 6.0, 6.0, 7.0, 7.0, 6.0, 6.0, 7.0, 8.0, 7.0, 7.0, 8.0, 9.0, 8.0, 7.0, 8.0, 9.0, 8.0, 7.0, 8.0, 9.0, 8.0, 7.0, 8.0, 9.0, 8.0, 7.0, 8.0, 9.0, 8.0, 7.0, 8.0, 9.0, 8.0, 7.0, 8.0, 9.0, 8.0, 7.0, 8.0, 9.0, 8.0, 7.0, 8.0, 9.0, 8.0, 7.0, 8.0, 9.0, 8.0, 7.0, 8.0, 9.0, 8.0, 7.0, 8.0, 9.0, 8.0, 7.0, 8.0, 9.0, 8.0, 7.0, 8.0, 9.0, 8.0, 7.0, 8.0, 9.0, 8.0, 7.0, 8.0, 9.0, 8.0, 7.0, 8.0, 9.0, 8.0, 7.0, 8.0, 9.0, 8.0, 7.0, 8.0, 9.0, 8.0, 7.0, 8.0, 9.0, 8.0, 7.0, 8.0, 9.0, 8.0, 10.0, 8.0, 9.0, 8.0, 10.0, 8.0, 9.0, 8.0, 10.0, 8.0, 9.0, 8.0, 10.0, 8.0]"
183585184,Dominion,34,GAME_OVER,303,2,4,4017,dominion-4P-32,10.0,7.0,8.0,7.0,dominion-4P-32,dominion-4P-32,dominion-4P-32,16,20,20,12,21,20,0,14,19,15,0,1,20,20,12,0,3,0,0,14,0,0,24,"[6.0, 6.0, 5.0, 6.0, 7.0, 7.0, 5.0, 7.0, 7.0, 8.0, 6.0, 7.0, 7.0, 9.0, 6.0, 8.0, 7.0, 10.0, 7.0, 8.0, 7.0, 10.0, 7.0, 8.0, 7.0, 10.0, 7.0, 8.0, 7.0, 10.0, 7.0, 8.0, 7.0, 10.0, 7.0, 8.0, 7.0, 10.0, 7.0, 8.0, 7.0, 10.0, 7.0, 8.0, 7.0, 10.0, 7.0, 8.0, 7.0, 10.0, 7.0, 8.0, 7.0, 10.0, 7.0, 8.0, 7.0, 10.0, 7.0, 8.0, 7.0, 10.0, 7.0, 8.0, 7.0, 10.0, 7.0, 8.0, 7.0, 10.0, 7.0, 8.0, 7.0, 10.0, 7.0, 8.0, 7.0, 10.0, 7.0, 8.0, 7.0, 10.0, 7.0, 8.0, 7.0, 10.0, 7.0, 8.0, 7.0, 10.0, 7.0, 8.0, 7.0, 10.0, 7.0, 8.0, 7.0, 10.0, 7.0, 8.0, 7.0, 10.0, 7.0, 8.0, 7.0, 10.0, 7.0, 8.0, 7.0, 10.0, 7.0, 8.0, 7.0, 10.0, 7.0, 8.0, 7.0, 10.0, 7.0, 8.0, 7.0, 10.0, 7.0, 8.0, 7.0, 10.0, 7.0, 8.0, 7.0, 10.0, 7.0, 8.0, 7.0, 10.0, 7.0, 8.0, 7.0, 10.0, 7.0, 8.0]"
2130877785,Dominion,28,GAME_OVER,252,2,4,4018,dominion-4P-32,8.0,9.0,8.0,7.0,dominion-4P-32,dominion-4P-32,dominion-4P-32,19,20,20,12,26,20,0,11,20,17,4,0,20,20,12,0,3,0,0,13,0,0,13,"[6.0, 6.0, 5.0, 5.0, 6.0, 7.0, 6.0, 6.0, 7.0, 8.0, 6.0, 7.0, 8.0, 8.0, 7.0, 8.0, 9.0, 8.0, 7.0, 8.0, 9.0, 8.0, 7.0, 8.0, 9.0, 8.0, 7.0, 8.0, 9.0, 8.0, 7.0, 8.0, 9.0, 8.0, 7.0, 8.0, 9.0, 8.0, 7.0, 8.0, 9.0, 8.0, 7.0, 8.0, 9.0, 8.0, 7.0, 8.0, 9.0, 8.0, 7.0, 8.0, 9.0, 8.0, 7.0, 8.0, 9.0, 8.0, 7.0, 8.0, 9.0, 8.0, 7.0, 8.0, 9.0, 8.0, 7.0, 8.0, 9.0, 8.0, 7.0, 8.0, 9.0, 8.0, 7.0, 8.0, 9.0, 8.0, 7.0, 8.0, 9.0, 8.0, 7.0, 8.0, 9.0, 8.0, 7.0, 8.0, 9.0, 8.0, 7.0, 8.0, 9.0, 8.0, 7.0, 8.0, 9.0, 8.0, 7.0, 8.0, 9.0, 8.0, 7.0, 8.0, 9.0, 8.0, 7.0, 8.0, 9.0, 8.0, 7.0, 8.0, 9.0, 8.0, 7.0, 8.0]"
24662136,Dominion,40,GAME_OVER,390,1,4,4019,dominion-4P-32,9.0,10.0,11.0,8.0,dominion-4P-32,dominion-4P-32,dominion-4P-32,17,20,20,10,23,17,0,13,18,13,0,3,20,20,12,0,3,0,0,33,2,0,54,"[5.0, 6.0, 5.0, 6.0, 5.0, 6.0, 6.0, 7.0, 6.0, 7.0, 7.0, 8.0, 6.0, 8.0, 8.0, 8.0, 7.0, 9.0, 8.0, 8.0, 7.0, 9.0, 8.0, 8.0, 7.0, 9.0, 8.0, 8.0, 7.0, 9.0, 8.0, 8.0, 7.0, 9.0, 8.0, 8.0, 7.0, 9.0, 8.0, 8.0, 7.0, 9.0, 8.0, 8.0, 7.0, 9.0, 8.0, 8.0, 7.0, 9.0, 8.0, 8.0, 7.0, 9.0, 8.0, 8.0, 7.0, 9.0, 8.0, 8.0, 7.0, 9.0, 8.0, 8.0, 7.0, 9.0, 8.0, 8.0, 7.0, 9.0, 8.0, 8.0, 7.0, 9.0, 8.0, 8.0, 7.0, 9.0, 8.0, 8.0, 7.0, 9.0, 8.0, 8.0, 7.0, 9.0, 8.0, 8.0, 7.0, 9.0, 8.0, 8.0, 7.0, 9.0, 8.0, 8.0, 7.0, 9.0, 8.0, 11.0, 7.0, 9.0, 8.0, 11.0, 7.0, 9.0, 8.0, 11.0, 7.0, 9.0, 8.0, 11.0, 7.0, 9.0, 8.0, 11.0, 7.0, 9.0, 8.0, 11.0, 7.0, 9.0, 8.0, 11.0, 10.0, 9.0, 8.0, 11.0, 10.0, 9.0, 8.0, 11.0, 10.0, 9.0, 8.0, 11.0, 10.0, 9.0, 8.0, 11.0, 10.0, 9.0, 8.0, 11.0, 10.0, 9.0, 8.0, 11.0, 10.0, 9.0, 8.0, 11.0, 10.0, 9.0, 8.0, 11.0, 10.0, 9.0, 8.0, 11.0, 10.0, 9.0, 8.0, 11.0]"
38103528,Dominion,29,GAME_OVER,248,0,4,4020,dominion-4P-32,10.0,6.0,8.0,8.0,dominion-4P-32,dominion-4P-32,dominion-4P-32,16,20,20,12,27,19,0,15,20,17,5,0,20,19,12,0,3,0,0,6,0,0,19,"[5.0, 6.0, 6.0, 6.0, 5.0, 7.0, 7.0, 7.0, 5.0, 8.0, 7.0, 7.0, 5.0, 8.0, 7.0, 7.0, 5.0, 9.0, 8.0, 8.0, 6.0, 10.0, 8.0, 8.0, 6.0, 10.0, 8.0, 8.0, 6.0, 10.0, 8.0, 8.0, 6.0, 10.0, 8.0, 8.0, 6.0, 10.0, 8.0, 8.0, 6.0, 10.0, 8.0, 8.0, 6.0, 10.0, 8.0, 8.0, 6.0, 10.0, 8.0, 8.0, 6.0, 10.0, 8.0, 8.0, 6.0, 10.0, 8.0, 8.0, 6.0, 10.0, 8.0, 8.0, 6.0, 10.0, 8.0, 8.0, 6.0, 10.0, 8.0, 8.0, 6.0, 10.0, 8.0, 8.0, 6.0, 10.0, 8.0, 8.0, 6.0, 10.0, 8.0, 8.0, 6.0, 10.0, 8.0, 8.0, 6.0, 10.0, 8.0, 8.0, 6.0, 10.0, 8.0, 8.0, 6.0, 10.0, 8.0, 8.0, 6.0, 10.0, 8.0, 8.0, 6.0, 10.0, 8.0, 8.0, 6.0, 10.0, 8.0, 8.0, 6.0, 10.0, 8.0, 8.0, 6.0, 10.0, 8.0, 8.0]"
1605631833,Dominion,23,GAME_OVER,213,0,4,4021,dominion-4P-32,7.0,9.0,9.0,7.0,dominion-4P-32,dominion-4P-32,dominion-4P-32,16,20,20,12,24,18,0,18,20,18,12,0,20,20,12,0,3,0,0,9,1,0,5,"[6.0, 6.0, 5.0, 6.0, 7.0, 7.0, 5.0, 7.0, 7.0, 7.0, 5.0, 7.0, 8.0, 7.0, 6.0, 8.0, 9.0, 7.0, 7.0, 9.0, 9.0, 7.0, 7.0, 9.0, 9.0, 7.0, 7.0, 9.0, 9.0, 7.0, 7.0, 9.0, 9.0, 7.0, 7.0, 9.0, 9.0, 7.0, 7.0, 9.0, 9.0, 7.0, 7.0, 9.0, 9.0, 7.0, 7.0, 9.0, 9.0, 7.0, 7.0, 9.0, 9.0, 7.0, 7.0, 9.0, 9.0, 7.0, 7.0, 9.0, 9.0, 7.0, 7.0, 9.0, 9.0, 7.0, 7.0, 9.0, 9.0, 7.0, 7.0, 9.0, 9.0, 7.0, 7.0, 9.0, 9.0, 7.0, 7.0, 9.0, 9.0, 7.0, 7.0, 9.0, 9.0, 7.0, 7.0, 9.0, 9.0, 7.0, 7.0, 9.0, 9.0, 7.0, 7.0, 9.0]"
-1268564339,Dominion,32,GAME_OVER,305,3,4,4022,dominion-4P-32,8.0,10.0,7.0,10.0,dominion-4P-32,dominion-4P-32,dominion-4P-32,17,20,20,11,26,19,0,16,20,17,0,3,20,19,12,0,3,0,0,15,0,0,21,"[5.0, 6.0, 6.0, 5.0, 6.0, 7.0, 7.0, 6.0, 6.0, 8.0, 8.0, 6.0, 6.0, 8.0, 9.0, 6.0, 7.0, 8.0, 10.0, 7.0, 7.0, 8.0, 10.0, 7.0, 7.0, 8.0, 10.0, 7.0, 10.0, 8.0, 10.0, 7.0, 10.0, 8.0, 10.0, 7.0, 10.0, 8.0, 10.0, 7.0, 10.0, 8.0, 10.0, 7.0, 10.0, 8.0, 10.0, 7.0, 10.0, 8.0, 10.0, 7.0, 10.0, 8.0, 10.0, 7.0, 10.0, 8.0, 10.0, 7.0, 10.0, 8.0, 10.0, 7.0, 10.0, 8.0, 10.0, 7.0, 10.0, 8.0, 10.0, 7.0, 10.0, 8.0, 10.0, 7.0, 10.0, 8.0, 10.0, 7.0, 10.0, 8.0, 10.0, 7.0, 10.0, 8.0, 10.0, 7.0, 10.0, 8.0, 10.0, 7.0, 10.0, 8.0, 10.0, 7.0, 10.0, 8.0, 10.0, 7.0, 10.0, 8.0, 10.0, 7.0, 10.0, 8.0, 10.0, 7.0, 10.0, 8.0, 10.0, 7.0, 10.0, 8.0, 10.0, 7.0, 10.0, 8.0, 10.0, 7.0, 10.0, 8.0, 10.0, 7.0, 10.0, 8.0, 10.0, 7.0, 10.0, 8.0, 10.0, 7.0]"
13310668,Dominion,37,GAME_OVER,344,2,4,4023,dominion-4P-32,8.0,9.0,7.0,8.0,dominion-4P-32,dominion-4P-32,dominion-4P-32,11,20,20,12,16,20,0,17,18,14,0,7,20,19,12,0,3,1,2,23,0,0,26,"[6.0, 6.0, 6.0, 5.0, 7.0, 7.0, 7.0, 5.0, 8.0, 7.0, 7.0, 6.0, 9.0, 8.0, 8.0, 6.0, 9.0, 8.0, 8.0, 7.0, 9.0, 8.0, 8.0, 7.0, 9.0, 8.0, 8.0, 7.0, 9.0, 8.0, 8.0, 7.0, 9.0, 8.0, 8.0, 7.0, 9.0, 8.0, 8.0, 7.0, 9.0, 8.0, 8.0, 7.0, 9.0, 8.0, 8.0, 7.0, 9.0, 8.0, 8.0, 7.0, 9.0, 8.0, 8.0, 7.0, 9.0, 8.0, 8.0, 7.0, 9.0, 8.0, 8.0, 7.0, 9.0, 8.0, 8.0, 7.0, 9.0, 8.0, 8.0, 7.0, 9.0, 8.0, 8.0, 7.0, 9.0, 8.0, 8.0, 7.0, 9.0, 8.0, 8.0, 7.0, 9.0, 8.0, 8.0, 7.0, 9.0, 8.0, 8.0, 7.0, 9.0, 8.0, 8.0, 7.0, 9.0, 8.0, 8.0, 7.0, 9.0, 8.0, 8.0, 7.0, 9.0, 8.0, 8.0, 7.0, 9.0, 8.0, 8.0, 7.0, 9.0, 8.0, 8.0, 7.0, 9.0, 8.0, 8.0, 7.0, 9.0, 8.0, 8.0, 7.0, 9.0, 8.0, 8.0, 7.0, 9.0, 8.0, 8.0, 7.0, 9.0, 8.0, 8.0, 7.0, 9.0, 8.0, 8.0, 7.0, 9.0, 8.0, 8.0, 7.0, 9.0, 8.0, 8.0, 7.0, 9.0, 8.0, 8.0, 7.0]"
-1074592658,Dominion,33,GAME_OVER,318,1,4,4024,dominion-4P-32,9.0,9.0,6.0,11.0,dominion-4P-32,dominion-4P-32,dominion-4P-32,15,20,20,11,28,20,0,17,20,13,5,0,20,20,12,0,3,0,0,22,0,0,14,"[6.0, 6.0, 5.0, 5.0, 7.0, 7.0, 6.0, 6.0, 7.0, 8.0, 7.0, 6.0, 8.0, 9.0, 8.0, 6.0, 9.0, 9.0, 8.0, 6.0, 9.0, 9.0, 8.0, 6.0, 9.0, 9.0, 8.0, 6.0, 9.0, 9.0, 8.0, 6.0, 9.0, 9.0, 8.0, 6.0, 9.0, 9.0, 8.0, 6.0, 9.0, 9.0, 8.0, 6.0, 9.0, 9.0, 8.0, 6.0, 9.0, 9.0, 8.0, 6.0, 9.0, 9.0, 8.0, 6.0, 9.0, 9.0, 8.0, 6.0, 9.0, 9.0, 8.0, 6.0, 9.0, 9.0, 8.0, 6.0, 9.0, 9.0, 8.0, 6.0, 9.0, 9.0, 8.0, 6.0, 9.0, 9.0, 8.0, 6.0, 9.0, 9.0, 8.0, 6.0, 9.0, 9.0, 8.0, 6.0, 9.0, 9.0, 8.0, 6.0, 9.0, 9.0, 8.0, 6.0, 9.0, 9.0, 8.0, 6.0, 9.0, 9.0, 8.0, 6.0, 9.0, 9.0, 11.0, 6.0, 9.0, 9.0, 11.0, 6.0, 9.0, 9.0, 11.0, 6.0, 9.0, 9.0, 11.0, 6.0, 9.0, 9.0, 11.0, 6.0, 9.0, 9.0, 11.0, 6.0, 9.0, 9.0, 11.0, 6.0, 9.0, 9.0, 11.0, 6.0]"
215596203,Dominion,29,GAME_OVER,255,1,4,4025,dominion-4P-32,7.0,9.0,8.0,8.0,dominion-4P-32,dominion-4P-32,dominion-4P-32,13,20,20,12,23,17,0,15,20,19,0,7,20,20,12,0,3,0,0,7,0,0,21,"[6.0, 6.0, 5.0, 6.0, 7.0, 6.0, 6.0, 7.0, 8.0, 6.0, 7.0, 8.0, 9.0, 7.0, 8.0, 8.0, 9.0, 7.0, 8.0, 8.0, 9.0, 7.0, 8.0, 8.0, 9.0, 7.0, 8.0, 8.0, 9.0, 7.0, 8.0, 8.0, 9.0, 7.0, 8.0, 8.0, 9.0, 7.0, 8.0, 8.0, 9.0, 7.0, 8.0, 8.0, 9.0, 7.0, 8.0, 8.0, 9.0, 7.0, 8.0, 8.0, 9.0, 7.0, 8.0, 8.0, 9.0, 7.0, 8.0, 8.0, 9.0, 7.0, 8.0, 8.0, 9.0, 7.0, 8.0, 8.0, 9.0, 7.0, 8.0, 8.0, 9.0, 7.0, 8.0, 8.0, 9.0, 7.0, 8.0, 8.0, 9.0, 7.0, 8.0, 8.0, 9.0, 7.0, 8.0, 8.0, 9.0, 7.0, 8.0, 8.0, 9.0, 7.0, 8.0, 8.0, 9.0, 7.0, 8.0, 8.0, 9.0, 7.0, 8.0, 8.0, 9.0, 7.0, 8.0, 8.0, 9.0, 7.0, 8.0, 8.0, 9.0, 7.0, 8.0, 8.0, 9.0, 7.0, 8.0, 8.0]"
-2079174604,Dominion,31,GAME_OVER,289,1,4,4026,dominion-4P-32,10.0,9.0,8.0,8.0,dominion-4P-32,dominion-4P-32,dominion-4P-32,16,20,20,11,28,17,0,15,19,18,0,3,20,20,12,0,3,1,2,17,0,0,19,"[6.0, 6.0, 6.0, 5.0, 7.0, 6.0, 7.0, 6.0, 7.0, 6.0, 7.0, 7.0, 8.0, 6.0, 7.0, 8.0, 9.0, 7.0, 8.0, 8.0, 9.0, 7.0, 8.0, 8.0, 9.0, 7.0, 8.0, 8.0, 9.0, 7.0, 8.0, 8.0, 9.0, 7.0, 8.0, 8.0, 9.0, 7.0, 8.0, 8.0, 9.0, 7.0, 8.0, 8.0, 9.0, 7.0, 8.0, 8.0, 9.0, 7.0, 8.0, 8.0, 9.0, 7.0, 8.0, 8.0, 9.0, 7.0, 8.0, 8.0, 9.0, 7.0, 8.0, 8.0, 9.0, 7.0, 8.0, 8.0, 9.0, 7.0, 8.0, 8.0, 9.0, 7.0, 8.0, 8.0, 9.0, 7.0, 8.0, 8.0, 9.0, 7.0, 8.0, 8.0, 9.0, 7.0, 8.0, 8.0, 9.0, 7.0, 8.0, 8.0, 9.0, 7.0, 8.0, 8.0, 9.0, 7.0, 8.0, 8.0, 9.0, 7.0, 8.0, 8.0, 9.0, 7.0, 8.0, 8.0, 9.0, 7.0, 8.0, 8.0, 9.0, 7.0, 8.0, 8.0, 9.0, 7.0, 8.0, 8.0, 9.0, 10.0, 8.0, 8.0, 9.0, 10.0, 8.0, 8.0]"
