GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(Player-3),FinalScore(Player-2),FinalScore(PlayerName-1),FinalScore(PlayerName-2),FinalScore(PlayerName-3),CardsInSupplyGameEnd(WORKSHOP),CardsInSupplyGameEnd(GOLD),CardsInSupplyGameEnd(MARKET),CardsInSupplyGameEnd(DUCHY),CardsInSupplyGameEnd(SILVER),CardsInSupplyGameEnd(REMODEL),CardsInSupplyGameEnd(COPPER),CardsInSupplyGameEnd(MERCHANT),CardsInSupplyGameEnd(MILITIA),CardsInSupplyGameEnd(VILLAGE),CardsInSupplyGameEnd(MOAT),CardsInSupplyGameEnd(CELLAR),CardsInSupplyGameEnd(MINE),CardsInSupplyGameEnd(SMITHY),CardsInSupplyGameEnd(PROVINCE),CardsInSupplyGameEnd(ESTATE),EmptySupplySlots(EmptySupplySlots),DominionActionValue(attackCount),DominionActionValue(plusMoney),DominionActionValue(plusActions),DominionActionValue(trashCardCount),DominionActionValue(plusBuys),DominionActionValue(plusDraws),ScoresPerRound(ScoresPerRound)
-591972121,Dominion,26,GAME_OVER,288,1,4,6014,dominion-4P-32,11.0,18.0,21.0,22.0,dominion-4P-32,dominion-4P-32,dominion-4P-32,7,29,9,0,21,2,16,5,9,0,1,4,9,3,10,0,3,0,4,50,4,4,68,"[4.0, 3.0, 4.0, 3.0, 5.0, 3.0, 4.0, 3.0, 6.0, 4.0, 5.0, 3.0, 6.0, 5.0, 5.0, 3.0, 6.0, 5.0, 6.0, 3.0, 6.0, 5.0, 6.0, 3.0, 6.0, 5.0, 6.0, 3.0, 6.0, 6.0, 9.0, 3.0, 6.0, 6.0, 10.0, 3.0, 9.0, 6.0, 10.0, 3.0, 9.0, 7.0, 10.0, 3.0, 9.0, 7.0, 10.0, 3.0, 12.0, 8.0, 10.0, 6.0, 12.0, 8.0, 10.0, 12.0, 12.0, 11.0, 10.0, 12.0, 15.0, 11.0, 10.0, 12.0, 15.0, 11.0, 10.0, 12.0, 15.0, 11.0, 10.0, 18.0, 15.0, 11.0, 13.0, 18.0, 18.0, 11.0, 16.0, 18.0, 18.0, 11.0, 16.0, 18.0, 18.0, 11.0, 19.0, 18.0, 18.0, 11.0, 19.0, 18.0, 18.0, 11.0, 22.0, 21.0, 18.0, 11.0, 22.0, 21.0, 18.0, 11.0, 22.0, 21.0, 18.0, 11.0, 22.0, 21.0]"
-591972121,Dominion,24,GAME_OVER,271,3,4,6015,dominion-4P-32,10.0,20.0,28.0,14.0,dominion-4P-32,dominion-4P-32,dominion-4P-32,5,30,10,0,20,8,19,0,9,6,6,1,9,8,10,0,3,0,0,35,0,0,26,"[3.0, 4.0, 3.0, 3.0, 4.0, 5.0, 4.0, 3.0, 4.0, 6.0, 5.0, 4.0, 4.0, 7.0, 5.0, 4.0, 5.0, 8.0, 5.0, 4.0, 5.0, 9.0, 5.0, 4.0, 8.0, 10.0, 5.0, 4.0, 8.0, 10.0, 5.0, 4.0, 8.0, 10.0, 5.0, 7.0, 8.0, 10.0, 8.0, 10.0, 11.0, 10.0, 8.0, 13.0, 11.0, 10.0, 8.0, 13.0, 11.0, 10.0, 11.0, 16.0, 14.0, 10.0, 11.0, 16.0, 14.0, 10.0, 11.0, 19.0, 14.0, 10.0, 14.0, 19.0, 14.0, 10.0, 14.0, 25.0, 20.0, 10.0, 14.0, 28.0, 20.0, 10.0, 14.0, 28.0, 20.0, 10.0, 14.0, 28.0, 20.0, 10.0, 14.0, 28.0, 20.0, 10.0, 14.0, 28.0, 20.0, 10.0, 14.0, 28.0, 20.0, 10.0, 14.0, 28.0, 20.0, 10.0, 14.0, 28.0]"
-591972121,Dominion,30,GAME_OVER,307,1,4,6016,dominion-4P-32,21.0,20.0,25.0,18.0,dominion-4P-32,dominion-4P-32,dominion-4P-32,4,27,9,0,21,8,18,5,7,7,0,1,10,3,8,0,3,4,8,17,0,0,67,"[3.0, 3.0, 4.0, 4.0, 3.0, 3.0, 5.0, 5.0, 4.0, 3.0, 6.0, 6.0, 4.0, 3.0, 6.0, 6.0, 4.0, 6.0, 9.0, 6.0, 4.0, 6.0, 9.0, 9.0, 4.0, 6.0, 10.0, 10.0, 5.0, 6.0, 11.0, 10.0, 5.0, 6.0, 11.0, 10.0, 5.0, 6.0, 12.0, 13.0, 5.0, 6.0, 15.0, 13.0, 5.0, 6.0, 15.0, 13.0, 5.0, 6.0, 15.0, 13.0, 5.0, 6.0, 15.0, 13.0, 5.0, 6.0, 15.0, 16.0, 8.0, 6.0, 15.0, 19.0, 8.0, 12.0, 15.0, 22.0, 8.0, 15.0, 15.0, 22.0, 8.0, 15.0, 15.0, 22.0, 14.0, 15.0, 18.0, 25.0, 14.0, 15.0, 18.0, 25.0, 14.0, 15.0, 18.0, 25.0, 14.0, 15.0, 18.0, 25.0, 14.0, 15.0, 18.0, 25.0, 14.0, 15.0, 18.0, 25.0, 14.0, 15.0, 18.0, 25.0, 14.0, 21.0, 18.0, 25.0, 14.0, 21.0, 18.0, 25.0, 14.0, 21.0, 18.0, 25.0, 20.0, 21.0, 18.0, 25.0, 20.0, 21.0, 18.0, 25.0]"
-591972121,Dominion,25,GAME_OVER,270,0,4,6017,dominion-4P-32,21.0,15.0,18.0,18.0,dominion-4P-32,dominion-4P-32,dominion-4P-32,6,29,8,0,21,6,19,1,9,8,0,4,10,9,10,0,3,0,0,33,0,0,39,"[4.0, 3.0, 4.0, 3.0, 4.0, 3.0, 4.0, 3.0, 5.0, 4.0, 5.0, 3.0, 8.0, 4.0, 7.0, 3.0, 8.0, 5.0, 8.0, 3.0, 8.0, 8.0, 8.0, 3.0, 8.0, 9.0, 9.0, 3.0, 9.0, 9.0, 9.0, 3.0, 12.0, 9.0, 9.0, 3.0, 12.0, 9.0, 9.0, 3.0, 12.0, 9.0, 9.0, 6.0, 12.0, 12.0, 12.0, 9.0, 12.0, 12.0, 12.0, 9.0, 12.0, 18.0, 12.0, 9.0, 12.0, 18.0, 12.0, 9.0, 12.0, 18.0, 12.0, 9.0, 15.0, 18.0, 15.0, 12.0, 15.0, 21.0, 15.0, 12.0, 15.0, 21.0, 15.0, 12.0, 15.0, 21.0, 18.0, 18.0, 15.0, 21.0, 18.0, 18.0, 15.0, 21.0, 18.0, 18.0, 15.0, 21.0, 18.0, 18.0, 15.0, 21.0, 18.0, 18.0, 15.0, 21.0, 18.0, 18.0, 15.0, 21.0, 18.0, 18.0]"
-591972121,Dominion,20,GAME_OVER,238,3,4,6018,dominion-4P-32,19.0,17.0,7.0,17.0,dominion-4P-32,dominion-4P-32,dominion-4P-32,5,30,10,0,27,9,14,9,7,8,0,3,10,7,12,0,3,4,8,15,0,0,28,"[3.0, 3.0, 3.0, 4.0, 4.0, 3.0, 4.0, 4.0, 5.0, 3.0, 5.0, 4.0, 5.0, 5.0, 5.0, 5.0, 5.0, 6.0, 5.0, 7.0, 5.0, 7.0, 5.0, 7.0, 5.0, 7.0, 5.0, 7.0, 5.0, 10.0, 5.0, 7.0, 5.0, 10.0, 5.0, 7.0, 8.0, 10.0, 8.0, 7.0, 8.0, 10.0, 8.0, 7.0, 8.0, 10.0, 8.0, 7.0, 8.0, 10.0, 8.0, 7.0, 8.0, 13.0, 8.0, 7.0, 8.0, 13.0, 11.0, 7.0, 8.0, 13.0, 14.0, 7.0, 8.0, 13.0, 14.0, 7.0, 11.0, 13.0, 14.0, 7.0, 11.0, 16.0, 14.0, 7.0, 14.0, 16.0, 14.0, 7.0, 17.0, 19.0, 17.0, 7.0]"
-591972121,Dominion,21,GAME_OVER,223,2,4,6019,dominion-4P-32,12.0,26.0,15.0,18.0,dominion-4P-32,dominion-4P-32,dominion-4P-32,5,29,10,0,29,6,13,8,8,8,0,6,9,6,10,0,3,1,2,14,4,0,42,"[3.0, 4.0, 3.0, 4.0, 3.0, 5.0, 3.0, 4.0, 6.0, 5.0, 4.0, 4.0, 6.0, 6.0, 5.0, 4.0, 7.0, 8.0, 6.0, 4.0, 13.0, 8.0, 6.0, 4.0, 14.0, 9.0, 6.0, 4.0, 17.0, 9.0, 6.0, 3.0, 17.0, 9.0, 6.0, 3.0, 17.0, 12.0, 6.0, 3.0, 17.0, 12.0, 9.0, 6.0, 17.0, 12.0, 12.0, 6.0, 17.0, 12.0, 12.0, 6.0, 17.0, 12.0, 12.0, 6.0, 17.0, 12.0, 12.0, 6.0, 20.0, 12.0, 15.0, 6.0, 20.0, 12.0, 15.0, 9.0, 23.0, 12.0, 15.0, 9.0, 26.0, 12.0, 15.0, 9.0, 26.0, 12.0, 15.0, 15.0, 26.0, 12.0, 15.0, 15.0, 26.0, 12.0, 18.0, 15.0]"
-591972121,Dominion,27,GAME_OVER,281,1,4,6020,dominion-4P-32,20.0,12.0,29.0,17.0,dominion-4P-32,dominion-4P-32,dominion-4P-32,0,29,10,0,23,8,12,3,8,8,5,1,10,6,9,0,3,0,0,20,0,0,41,"[3.0, 3.0, 3.0, 3.0, 4.0, 4.0, 3.0, 4.0, 4.0, 4.0, 3.0, 4.0, 4.0, 5.0, 3.0, 4.0, 4.0, 8.0, 3.0, 4.0, 4.0, 8.0, 4.0, 4.0, 5.0, 9.0, 4.0, 4.0, 8.0, 9.0, 5.0, 4.0, 9.0, 12.0, 8.0, 10.0, 9.0, 13.0, 8.0, 13.0, 9.0, 16.0, 8.0, 14.0, 9.0, 16.0, 8.0, 17.0, 12.0, 17.0, 8.0, 17.0, 12.0, 17.0, 11.0, 17.0, 12.0, 17.0, 14.0, 17.0, 12.0, 17.0, 17.0, 17.0, 12.0, 17.0, 17.0, 17.0, 12.0, 17.0, 17.0, 17.0, 12.0, 17.0, 17.0, 17.0, 12.0, 17.0, 17.0, 17.0, 12.0, 20.0, 17.0, 17.0, 12.0, 20.0, 17.0, 23.0, 12.0, 20.0, 17.0, 23.0, 12.0, 20.0, 17.0, 29.0, 12.0, 20.0, 17.0, 29.0, 12.0, 20.0, 17.0, 29.0, 12.0, 20.0, 17.0, 29.0, 12.0, 20.0, 17.0, 29.0]"
-591972121,Dominion,24,GAME_OVER,228,0,4,6021,dominion-4P-32,15.0,18.0,32.0,19.0,dominion-4P-32,dominion-4P-32,dominion-4P-32,5,28,7,0,20,7,20,5,10,7,0,8,9,7,8,0,3,0,0,12,1,0,50,"[4.0, 3.0, 3.0, 3.0, 4.0, 3.0, 4.0, 3.0, 5.0, 3.0, 5.0, 3.0, 5.0, 3.0, 5.0, 3.0, 5.0, 3.0, 5.0, 3.0, 8.0, 3.0, 6.0, 3.0, 9.0, 6.0, 7.0, 6.0, 9.0, 6.0, 7.0, 6.0, 10.0, 9.0, 7.0, 9.0, 10.0, 12.0, 7.0, 12.0, 13.0, 15.0, 10.0, 13.0, 13.0, 15.0, 10.0, 13.0, 14.0, 15.0, 10.0, 13.0, 14.0, 15.0, 10.0, 13.0, 14.0, 15.0, 10.0, 13.0, 14.0, 15.0, 16.0, 14.0, 15.0, 15.0, 16.0, 20.0, 18.0, 15.0, 19.0, 20.0, 18.0, 15.0, 19.0, 20.0, 18.0, 15.0, 19.0, 20.0, 18.0, 15.0, 19.0, 20.0, 18.0, 15.0, 19.0, 26.0, 18.0, 15.0, 19.0, 26.0, 18.0, 15.0, 19.0, 32.0, 18.0, 15.0, 19.0, 32.0]"
-591972121,Dominion,32,GAME_OVER,363,1,4,6022,dominion-4P-32,19.0,17.0,29.0,18.0,dominion-4P-32,dominion-4P-32,dominion-4P-32,4,27,10,0,16,4,8,5,7,6,1,0,8,2,8,0,3,1,2,24,8,0,64,"[4.0, 4.0, 3.0, 3.0, 5.0, 4.0, 3.0, 3.0, 5.0, 4.0, 3.0, 3.0, 5.0, 4.0, 3.0, 3.0, 5.0, 4.0, 3.0, 3.0, 6.0, 4.0, 3.0, 4.0, 9.0, 5.0, 6.0, 4.0, 10.0, 8.0, 6.0, 4.0, 11.0, 8.0, 6.0, 7.0, 12.0, 8.0, 6.0, 7.0, 12.0, 11.0, 6.0, 7.0, 12.0, 11.0, 6.0, 10.0, 12.0, 11.0, 9.0, 10.0, 12.0, 13.0, 9.0, 10.0, 12.0, 13.0, 9.0, 10.0, 13.0, 13.0, 12.0, 11.0, 13.0, 13.0, 12.0, 17.0, 13.0, 13.0, 12.0, 17.0, 13.0, 16.0, 12.0, 23.0, 14.0, 16.0, 12.0, 23.0, 14.0, 16.0, 12.0, 23.0, 14.0, 19.0, 12.0, 29.0, 17.0, 19.0, 12.0, 29.0, 17.0, 19.0, 12.0, 29.0, 17.0, 19.0, 12.0, 29.0, 17.0, 19.0, 12.0, 29.0, 17.0, 19.0, 12.0, 29.0, 17.0, 19.0, 12.0, 29.0, 17.0, 19.0, 12.0, 29.0, 17.0, 19.0, 18.0, 29.0, 17.0, 19.0, 18.0, 29.0, 17.0, 19.0, 18.0, 29.0, 17.0, 19.0, 18.0, 29.0]"
-591972121,Dominion,21,GAME_OVER,198,0,4,6023,dominion-4P-32,10.0,30.0,21.0,11.0,dominion-4P-32,dominion-4P-32,dominion-4P-32,8,29,10,0,24,9,22,5,8,10,0,6,9,8,10,0,3,2,4,8,3,0,33,"[3.0, 4.0, 4.0, 3.0, 3.0, 5.0, 5.0, 3.0, 3.0, 6.0, 6.0, 3.0, 3.0, 7.0, 6.0, 3.0, 3.0, 8.0, 7.0, 6.0, 3.0, 9.0, 8.0, 6.0, 6.0, 10.0, 8.0, 6.0, 9.0, 10.0, 8.0, 6.0, 9.0, 10.0, 8.0, 9.0, 9.0, 10.0, 8.0, 9.0, 9.0, 10.0, 8.0, 12.0, 15.0, 10.0, 8.0, 12.0, 18.0, 10.0, 11.0, 12.0, 18.0, 10.0, 11.0, 15.0, 21.0, 10.0, 11.0, 15.0, 24.0, 10.0, 11.0, 15.0, 24.0, 10.0, 11.0, 15.0, 27.0, 10.0, 11.0, 15.0, 27.0, 10.0, 11.0, 21.0, 27.0, 10.0, 11.0, 21.0, 27.0, 10.0, 11.0, 21.0, 30.0, 10.0, 11.0, 21.0]"
-591972121,Dominion,21,GAME_OVER,216,0,4,6024,dominion-4P-32,19.0,17.0,13.0,11.0,dominion-4P-32,dominion-4P-32,dominion-4P-32,7,30,10,0,30,6,21,6,6,9,0,6,10,10,12,0,3,4,8,7,3,0,26,"[3.0, 4.0, 4.0, 3.0, 3.0, 4.0, 5.0, 4.0, 3.0, 4.0, 6.0, 5.0, 3.0, 4.0, 7.0, 5.0, 3.0, 4.0, 10.0, 6.0, 4.0, 7.0, 10.0, 7.0, 4.0, 7.0, 11.0, 7.0, 5.0, 10.0, 11.0, 7.0, 8.0, 10.0, 11.0, 7.0, 8.0, 13.0, 11.0, 7.0, 8.0, 16.0, 11.0, 7.0, 8.0, 16.0, 11.0, 7.0, 8.0, 19.0, 11.0, 7.0, 11.0, 19.0, 11.0, 7.0, 11.0, 19.0, 11.0, 7.0, 14.0, 19.0, 11.0, 7.0, 14.0, 19.0, 11.0, 10.0, 14.0, 19.0, 11.0, 13.0, 17.0, 19.0, 11.0, 13.0, 17.0, 19.0, 11.0, 13.0, 17.0, 19.0, 11.0, 13.0, 17.0, 19.0, 11.0, 13.0]"
-591972121,Dominion,20,GAME_OVER,212,1,4,6025,dominion-4P-32,16.0,17.0,11.0,22.0,dominion-4P-32,dominion-4P-32,dominion-4P-32,0,29,10,0,24,9,16,3,8,7,9,9,10,6,11,0,3,2,4,19,0,0,32,"[3.0, 4.0, 3.0, 4.0, 3.0, 4.0, 3.0, 4.0, 4.0, 5.0, 3.0, 4.0, 4.0, 5.0, 3.0, 4.0, 4.0, 6.0, 3.0, 4.0, 4.0, 9.0, 6.0, 5.0, 4.0, 9.0, 7.0, 6.0, 4.0, 9.0, 7.0, 6.0, 4.0, 10.0, 10.0, 8.0, 5.0, 10.0, 13.0, 8.0, 5.0, 10.0, 16.0, 8.0, 5.0, 10.0, 16.0, 8.0, 8.0, 13.0, 16.0, 8.0, 8.0, 13.0, 16.0, 8.0, 8.0, 13.0, 19.0, 8.0, 8.0, 13.0, 19.0, 8.0, 11.0, 13.0, 19.0, 8.0, 17.0, 13.0, 19.0, 8.0, 17.0, 13.0, 22.0, 8.0, 17.0, 13.0, 22.0, 11.0, 17.0, 16.0, 22.0, 11.0]"
-591972121,Dominion,28,GAME_OVER,275,3,4,6026,dominion-4P-32,16.0,31.0,12.0,31.0,dominion-4P-32,dominion-4P-32,dominion-4P-32,1,26,9,0,18,5,14,0,8,8,1,7,8,6,7,0,3,1,2,8,5,0,49,"[3.0, 4.0, 3.0, 4.0, 3.0, 4.0, 3.0, 5.0, 3.0, 4.0, 4.0, 5.0, 6.0, 5.0, 4.0, 5.0, 6.0, 5.0, 4.0, 6.0, 6.0, 6.0, 4.0, 7.0, 12.0, 9.0, 4.0, 8.0, 12.0, 10.0, 7.0, 8.0, 13.0, 10.0, 10.0, 8.0, 16.0, 13.0, 13.0, 9.0, 19.0, 13.0, 13.0, 9.0, 19.0, 13.0, 16.0, 12.0, 19.0, 13.0, 19.0, 12.0, 19.0, 13.0, 19.0, 12.0, 19.0, 13.0, 19.0, 12.0, 19.0, 16.0, 25.0, 12.0, 19.0, 16.0, 25.0, 12.0, 19.0, 16.0, 25.0, 12.0, 19.0, 16.0, 25.0, 12.0, 19.0, 16.0, 25.0, 12.0, 19.0, 16.0, 25.0, 12.0, 19.0, 16.0, 25.0, 12.0, 19.0, 16.0, 25.0, 12.0, 19.0, 16.0, 25.0, 12.0, 25.0, 16.0, 25.0, 12.0, 31.0, 16.0, 31.0, 12.0, 31.0, 16.0, 31.0, 12.0, 31.0, 16.0, 31.0, 12.0, 31.0, 16.0, 31.0, 12.0]"
-591972121,Dominion,24,GAME_OVER,258,3,4,6027,dominion-4P-32,16.0,15.0,17.0,12.0,dominion-4P-32,dominion-4P-32,dominion-4P-32,6,28,9,0,24,6,17,9,7,6,0,2,9,6,12,0,3,2,5,16,2,1,25,"[3.0, 3.0, 4.0, 3.0, 3.0, 3.0, 4.0, 3.0, 6.0, 3.0, 5.0, 3.0, 6.0, 3.0, 7.0, 3.0, 6.0, 6.0, 8.0, 4.0, 9.0, 6.0, 8.0, 7.0, 9.0, 7.0, 8.0, 10.0, 12.0, 10.0, 9.0, 11.0, 12.0, 10.0, 10.0, 11.0, 12.0, 10.0, 12.0, 14.0, 12.0, 10.0, 12.0, 17.0, 15.0, 10.0, 12.0, 17.0, 15.0, 13.0, 12.0, 17.0, 15.0, 13.0, 12.0, 17.0, 15.0, 16.0, 12.0, 17.0, 15.0, 16.0, 12.0, 17.0, 15.0, 16.0, 12.0, 17.0, 15.0, 16.0, 12.0, 17.0, 15.0, 16.0, 12.0, 17.0, 15.0, 16.0, 12.0, 17.0, 15.0, 16.0, 12.0, 17.0, 15.0, 16.0, 12.0, 17.0, 15.0, 16.0, 12.0, 17.0, 15.0, 16.0, 12.0, 17.0, 15.0, 16.0, 12.0, 17.0]"
-591972121,Dominion,18,GAME_OVER,187,3,4,6028,dominion-4P-32,18.0,18.0,8.0,22.0,dominion-4P-32,dominion-4P-32,dominion-4P-32,2,30,10,0,26,8,16,9,10,9,0,6,10,6,11,0,3,0,0,6,2,0,30,"[3.0, 3.0, 4.0, 3.0, 4.0, 3.0, 4.0, 3.0, 5.0, 3.0, 5.0, 3.0, 6.0, 3.0, 5.0, 5.0, 7.0, 3.0, 7.0, 5.0, 9.0, 3.0, 7.0, 5.0, 9.0, 3.0, 10.0, 5.0, 9.0, 3.0, 10.0, 5.0, 9.0, 6.0, 10.0, 5.0, 9.0, 9.0, 10.0, 5.0, 9.0, 9.0, 13.0, 5.0, 9.0, 9.0, 16.0, 5.0, 12.0, 12.0, 16.0, 5.0, 12.0, 12.0, 16.0, 5.0, 12.0, 12.0, 16.0, 5.0, 12.0, 12.0, 16.0, 8.0, 15.0, 12.0, 19.0, 8.0, 15.0, 18.0, 22.0, 8.0, 18.0, 18.0, 22.0, 8.0]"
-591972121,Dominion,33,GAME_OVER,391,1,4,6029,dominion-4P-32,13.0,28.0,26.0,29.0,dominion-4P-32,dominion-4P-32,dominion-4P-32,1,28,9,0,21,7,8,4,4,1,1,0,10,6,6,0,3,8,17,42,3,1,58,"[3.0, 4.0, 3.0, 4.0, 3.0, 4.0, 4.0, 4.0, 3.0, 4.0, 5.0, 4.0, 6.0, 5.0, 5.0, 4.0, 6.0, 7.0, 5.0, 4.0, 6.0, 8.0, 8.0, 4.0, 7.0, 8.0, 8.0, 5.0, 7.0, 10.0, 8.0, 5.0, 10.0, 10.0, 8.0, 5.0, 13.0, 10.0, 8.0, 5.0, 13.0, 10.0, 8.0, 5.0, 16.0, 10.0, 8.0, 8.0, 16.0, 10.0, 8.0, 8.0, 16.0, 10.0, 8.0, 8.0, 19.0, 10.0, 8.0, 11.0, 22.0, 13.0, 11.0, 11.0, 22.0, 13.0, 11.0, 11.0, 22.0, 13.0, 17.0, 14.0, 22.0, 13.0, 17.0, 14.0, 22.0, 13.0, 17.0, 14.0, 22.0, 13.0, 23.0, 14.0, 22.0, 13.0, 23.0, 14.0, 22.0, 13.0, 23.0, 14.0, 22.0, 13.0, 23.0, 14.0, 22.0, 13.0, 23.0, 14.0, 22.0, 13.0, 23.0, 14.0, 22.0, 13.0, 23.0, 14.0, 22.0, 13.0, 23.0, 14.0, 22.0, 13.0, 23.0, 20.0, 22.0, 13.0, 23.0, 20.0, 22.0, 13.0, 23.0, 20.0, 28.0, 13.0, 29.0, 26.0, 28.0, 13.0, 29.0, 26.0, 28.0, 13.0, 29.0, 26.0]"
-591972121,Dominion,28,GAME_OVER,294,1,4,6030,dominion-4P-32,13.0,27.0,16.0,15.0,dominion-4P-32,dominion-4P-32,dominion-4P-32,5,27,9,0,22,9,13,5,5,8,4,0,10,3,10,0,3,4,9,8,3,1,69,"[4.0, 3.0, 4.0, 3.0, 4.0, 4.0, 4.0, 3.0, 4.0, 5.0, 4.0, 3.0, 4.0, 6.0, 4.0, 6.0, 7.0, 7.0, 5.0, 9.0, 7.0, 7.0, 5.0, 10.0, 7.0, 7.0, 6.0, 10.0, 6.0, 8.0, 6.0, 10.0, 6.0, 9.0, 9.0, 10.0, 9.0, 10.0, 9.0, 10.0, 12.0, 10.0, 9.0, 13.0, 12.0, 10.0, 9.0, 13.0, 12.0, 10.0, 9.0, 13.0, 12.0, 10.0, 9.0, 13.0, 12.0, 10.0, 9.0, 13.0, 15.0, 10.0, 9.0, 13.0, 15.0, 10.0, 12.0, 13.0, 15.0, 13.0, 15.0, 13.0, 15.0, 13.0, 15.0, 13.0, 15.0, 13.0, 15.0, 16.0, 15.0, 13.0, 15.0, 16.0, 21.0, 13.0, 15.0, 16.0, 21.0, 13.0, 15.0, 16.0, 21.0, 13.0, 15.0, 16.0, 21.0, 13.0, 15.0, 16.0, 21.0, 13.0, 15.0, 16.0, 21.0, 13.0, 15.0, 16.0, 21.0, 13.0, 15.0, 16.0, 27.0, 13.0, 15.0, 16.0]"
-591972121,Dominion,31,GAME_OVER,298,0,4,6031,dominion-4P-32,20.0,19.0,11.0,16.0,dominion-4P-32,dominion-4P-32,dominion-4P-32,4,29,8,0,21,6,9,8,4,7,0,3,9,3,11,0,3,5,12,11,2,2,69,"[3.0, 4.0, 3.0, 3.0, 3.0, 5.0, 4.0, 4.0, 3.0, 5.0, 4.0, 4.0, 3.0, 5.0, 4.0, 4.0, 6.0, 5.0, 4.0, 5.0, 6.0, 6.0, 4.0, 5.0, 7.0, 6.0, 4.0, 5.0, 8.0, 7.0, 4.0, 5.0, 11.0, 10.0, 4.0, 5.0, 11.0, 11.0, 4.0, 5.0, 11.0, 11.0, 4.0, 5.0, 12.0, 14.0, 7.0, 8.0, 15.0, 14.0, 10.0, 8.0, 18.0, 14.0, 10.0, 11.0, 19.0, 17.0, 10.0, 11.0, 19.0, 20.0, 10.0, 11.0, 19.0, 20.0, 10.0, 11.0, 19.0, 20.0, 10.0, 11.0, 19.0, 20.0, 10.0, 11.0, 19.0, 20.0, 10.0, 11.0, 19.0, 20.0, 10.0, 11.0, 19.0, 20.0, 16.0, 11.0, 19.0, 20.0, 16.0, 11.0, 19.0, 20.0, 16.0, 11.0, 19.0, 20.0, 16.0, 11.0, 19.0, 20.0, 16.0, 11.0, 19.0, 20.0, 16.0, 11.0, 19.0, 20.0, 16.0, 11.0, 19.0, 20.0, 16.0, 11.0, 19.0, 20.0, 16.0, 11.0, 19.0, 20.0, 16.0, 11.0, 19.0, 20.0, 16.0, 11.0]"
-591972121,Dominion,23,GAME_OVER,233,2,4,6032,dominion-4P-32,16.0,13.0,25.0,12.0,dominion-4P-32,dominion-4P-32,dominion-4P-32,2,28,10,0,28,8,17,2,8,3,5,0,8,7,11,0,3,0,0,17,2,0,44,"[4.0, 3.0, 4.0, 3.0, 4.0, 3.0, 4.0, 4.0, 5.0, 3.0, 5.0, 4.0, 6.0, 3.0, 5.0, 4.0, 6.0, 3.0, 8.0, 7.0, 9.0, 3.0, 8.0, 7.0, 9.0, 6.0, 8.0, 7.0, 10.0, 6.0, 10.0, 7.0, 10.0, 6.0, 11.0, 10.0, 10.0, 7.0, 12.0, 13.0, 10.0, 7.0, 12.0, 13.0, 13.0, 7.0, 12.0, 13.0, 13.0, 10.0, 12.0, 16.0, 13.0, 13.0, 12.0, 16.0, 13.0, 13.0, 12.0, 16.0, 13.0, 13.0, 12.0, 19.0, 13.0, 16.0, 12.0, 19.0, 13.0, 16.0, 12.0, 19.0, 13.0, 16.0, 12.0, 19.0, 13.0, 16.0, 12.0, 19.0, 13.0, 16.0, 12.0, 25.0, 13.0, 16.0, 12.0, 25.0, 13.0, 16.0, 12.0, 25.0, 13.0, 16.0, 12.0, 25.0]"
-591972121,Dominion,29,GAME_OVER,316,2,4,6033,dominion-4P-32,15.0,24.0,15.0,24.0,dominion-4P-32,dominion-4P-32,dominion-4P-32,6,29,10,0,23,8,9,0,6,6,1,1,9,6,9,0,3,6,12,29,0,0,71,"[3.0, 4.0, 3.0, 4.0, 3.0, 4.0, 4.0, 4.0, 3.0, 4.0, 4.0, 5.0, 3.0, 5.0, 7.0, 6.0, 3.0, 5.0, 8.0, 6.0, 3.0, 5.0, 8.0, 7.0, 3.0, 5.0, 8.0, 7.0, 3.0, 5.0, 8.0, 8.0, 3.0, 5.0, 8.0, 8.0, 3.0, 5.0, 8.0, 9.0, 3.0, 6.0, 9.0, 9.0, 3.0, 9.0, 12.0, 9.0, 3.0, 9.0, 15.0, 9.0, 3.0, 9.0, 15.0, 12.0, 6.0, 12.0, 15.0, 12.0, 12.0, 12.0, 15.0, 12.0, 12.0, 12.0, 18.0, 15.0, 12.0, 12.0, 21.0, 15.0, 12.0, 12.0, 21.0, 15.0, 12.0, 12.0, 21.0, 15.0, 12.0, 12.0, 21.0, 15.0, 18.0, 12.0, 21.0, 15.0, 18.0, 12.0, 21.0, 15.0, 24.0, 15.0, 24.0, 15.0, 24.0, 15.0, 24.0, 15.0, 24.0, 15.0, 24.0, 15.0, 24.0, 15.0, 24.0, 15.0, 24.0, 15.0, 24.0, 15.0, 24.0, 15.0, 24.0, 15.0, 24.0, 15.0, 24.0, 15.0]"
